Línea 1: Mejor: 62, Media Aptitud: 45.89, Std Aptitud: 4.13, Media Mejores: 61.40, Std Mejores: 1.62
Línea 2: Mejor: 61, Media Aptitud: 46.52, Std Aptitud: 4.86, Media Mejores: 60.48, Std Mejores: 1.60
Línea 3: Mejor: 61, Media Aptitud: 45.70, Std Aptitud: 4.52, Media Mejores: 60.55, Std Mejores: 1.40
Línea 4: Mejor: 62, Media Aptitud: 46.61, Std Aptitud: 4.47, Media Mejores: 61.30, Std Mejores: 2.04
Línea 5: Mejor: 63, Media Aptitud: 46.44, Std Aptitud: 4.39, Media Mejores: 61.58, Std Mejores: 1.88
Línea 6: Mejor: 62, Media Aptitud: 46.14, Std Aptitud: 4.91, Media Mejores: 59.77, Std Mejores: 2.29
Línea 7: Mejor: 61, Media Aptitud: 44.83, Std Aptitud: 4.39, Media Mejores: 59.90, Std Mejores: 2.02
Línea 8: Mejor: 63, Media Aptitud: 45.76, Std Aptitud: 4.22, Media Mejores: 60.37, Std Mejores: 1.57
Línea 9: Mejor: 62, Media Aptitud: 45.85, Std Aptitud: 4.72, Media Mejores: 60.65, Std Mejores: 2.21
Línea 10: Mejor: 64, Media Aptitud: 45.36, Std Aptitud: 4.48, Media Mejores: 60.59, Std Mejores: 2.30
Línea 11: Mejor: 62, Media Aptitud: 47.05, Std Aptitud: 4.71, Media Mejores: 60.82, Std Mejores: 2.08
Línea 12: Mejor: 61, Media Aptitud: 45.82, Std Aptitud: 3.80, Media Mejores: 59.56, Std Mejores: 2.50
Línea 13: Mejor: 61, Media Aptitud: 45.44, Std Aptitud: 4.37, Media Mejores: 60.26, Std Mejores: 1.72
Línea 14: Mejor: 64, Media Aptitud: 46.25, Std Aptitud: 4.74, Media Mejores: 61.17, Std Mejores: 2.22
Línea 15: Mejor: 62, Media Aptitud: 46.14, Std Aptitud: 4.14, Media Mejores: 60.95, Std Mejores: 1.90
Línea 16: Mejor: 64, Media Aptitud: 45.51, Std Aptitud: 4.35, Media Mejores: 60.83, Std Mejores: 3.47
Línea 17: Mejor: 60, Media Aptitud: 46.44, Std Aptitud: 4.30, Media Mejores: 58.59, Std Mejores: 1.96
Línea 18: Mejor: 61, Media Aptitud: 45.59, Std Aptitud: 4.47, Media Mejores: 60.27, Std Mejores: 1.34
Línea 19: Mejor: 62, Media Aptitud: 46.51, Std Aptitud: 4.96, Media Mejores: 59.96, Std Mejores: 1.41
Línea 20: Mejor: 61, Media Aptitud: 46.31, Std Aptitud: 4.28, Media Mejores: 59.66, Std Mejores: 1.93
Línea 21: Mejor: 60, Media Aptitud: 46.02, Std Aptitud: 4.59, Media Mejores: 58.43, Std Mejores: 1.92
Línea 22: Mejor: 62, Media Aptitud: 45.43, Std Aptitud: 4.74, Media Mejores: 59.92, Std Mejores: 2.58
Línea 23: Mejor: 63, Media Aptitud: 46.28, Std Aptitud: 4.56, Media Mejores: 61.24, Std Mejores: 2.08
Línea 24: Mejor: 63, Media Aptitud: 47.33, Std Aptitud: 4.54, Media Mejores: 61.25, Std Mejores: 2.05
Línea 25: Mejor: 63, Media Aptitud: 45.32, Std Aptitud: 4.66, Media Mejores: 61.29, Std Mejores: 1.90
Línea 26: Mejor: 63, Media Aptitud: 46.46, Std Aptitud: 4.58, Media Mejores: 61.59, Std Mejores: 2.45
Línea 27: Mejor: 64, Media Aptitud: 46.02, Std Aptitud: 4.81, Media Mejores: 61.01, Std Mejores: 3.33
Línea 28: Mejor: 63, Media Aptitud: 46.54, Std Aptitud: 4.86, Media Mejores: 60.39, Std Mejores: 2.66
Línea 29: Mejor: 62, Media Aptitud: 46.74, Std Aptitud: 4.37, Media Mejores: 60.92, Std Mejores: 2.08
Línea 30: Mejor: 62, Media Aptitud: 45.67, Std Aptitud: 4.64, Media Mejores: 61.23, Std Mejores: 1.99
Línea 31: Mejor: 62, Media Aptitud: 46.03, Std Aptitud: 4.42, Media Mejores: 61.05, Std Mejores: 2.00
Línea 32: Mejor: 61, Media Aptitud: 46.65, Std Aptitud: 4.55, Media Mejores: 59.88, Std Mejores: 1.61
Línea 33: Mejor: 61, Media Aptitud: 46.03, Std Aptitud: 4.83, Media Mejores: 59.39, Std Mejores: 1.45
Línea 34: Mejor: 61, Media Aptitud: 45.66, Std Aptitud: 4.76, Media Mejores: 60.46, Std Mejores: 1.70
Línea 35: Mejor: 61, Media Aptitud: 46.18, Std Aptitud: 4.86, Media Mejores: 60.42, Std Mejores: 1.71
Línea 36: Mejor: 63, Media Aptitud: 46.62, Std Aptitud: 4.75, Media Mejores: 59.98, Std Mejores: 2.31
Línea 37: Mejor: 63, Media Aptitud: 46.58, Std Aptitud: 4.67, Media Mejores: 60.66, Std Mejores: 2.68
Línea 38: Mejor: 61, Media Aptitud: 46.40, Std Aptitud: 4.18, Media Mejores: 60.43, Std Mejores: 1.76
